[run number],withNodes,sensor-angle,rotation-angle,suck-pheromone-from-border,[step],calcoverlap
113,true,45,60,false,1000,165.8263282
114,true,45,60,false,1000,95.66948262
115,true,45,60,false,1000,112.6779191
116,true,45,60,false,1000,177.9043274
117,true,45,60,false,1000,169.8156821
118,true,45,60,false,1000,111.5532561
119,true,45,60,false,1000,121.2080987
120,true,45,60,false,1000,111.6086169
121,true,60,20,true,1000,53.42975259
122,true,60,20,true,1000,57.61806632
123,true,60,20,true,1000,43.65791756
124,true,60,20,true,1000,39.64276304
125,true,60,20,true,1000,68.64868787
126,true,60,20,true,1000,48.45997503
127,true,60,20,true,1000,75.79819958
128,true,60,20,true,1000,48.03280505
129,true,60,20,true,1000,57.3078709
130,true,60,20,true,1000,52.22060398
131,true,60,20,false,1000,71.77672389
132,true,60,20,false,1000,57.00692808
133,true,60,20,false,1000,76.56798454
134,true,60,20,false,1000,90.34365645
135,true,60,20,false,1000,70.67587335
136,true,60,20,false,1000,85.17090374
137,true,60,20,false,1000,65.46161481
138,true,60,20,false,1000,54.26349391
139,true,60,20,false,1000,52.23926895
140,true,60,20,false,1000,39.22538111
141,true,60,45,true,1000,194.2210112
142,true,60,45,true,1000,145.5582857
143,true,60,45,true,1000,78.88606825
144,true,60,45,true,1000,159.3262905
145,true,60,45,true,1000,141.8033798
146,true,60,45,true,1000,120.867373
147,true,60,45,true,1000,106.057854
148,true,60,45,true,1000,106.9110592
149,true,60,45,true,1000,145.382273
150,true,60,45,true,1000,185.4798781
151,true,60,45,false,1000,140.253029
152,true,60,45,false,1000,89.77968492
153,true,60,45,false,1000,101.7200646
154,true,60,45,false,1000,89.88425991
155,true,60,45,false,1000,141.3964742
156,true,60,45,false,1000,95.53171278
157,true,60,45,false,1000,120.8753298
158,true,60,45,false,1000,100.1119862
159,true,60,45,false,1000,132.8561321
160,true,60,45,false,1000,142.4788244
161,true,60,60,true,1000,103.8177834
162,true,60,60,true,1000,120.2721437
163,true,60,60,true,1000,127.3015117
164,true,60,60,true,1000,201.126675
165,true,60,60,true,1000,129.2005721
166,true,60,60,true,1000,190.7404716
167,true,60,60,true,1000,165.8492531
168,true,60,60,true,1000,170.7911892
169,true,60,60,true,1000,172.8889988
170,true,60,60,true,1000,95.89815895
171,true,60,60,false,1000,198.3383144
172,true,60,60,false,1000,172.8405541
173,true,60,60,false,1000,134.578516
174,true,60,60,false,1000,153.5030285
175,true,60,60,false,1000,158.5290754
176,true,60,60,false,1000,166.672058
177,true,60,60,false,1000,138.2746184
178,true,60,60,false,1000,140.8680791
179,true,60,60,false,1000,166.1366951
180,true,60,60,false,1000,87.06916272
181,false,20,20,true,1000,18.32328989
182,false,20,20,true,1000,18.98359464
183,false,20,20,true,1000,20.51584787
184,false,20,20,true,1000,18.87004718
185,false,20,20,true,1000,18.05912415
186,false,20,20,true,1000,18.60631928
187,false,20,20,true,1000,17.07260757
